slug,repo_url,domain,build_type,root_cause,sub_causes,run_count,total_iterations,total_verify_attempts,total_build_attempts,total_build_failures,total_smoke_attempts,total_smoke_failures,total_rejections,had_any_build_success,max_iterations_reached,num_dockerfiles_generated,last_verify_result,base_images_tried,error_message
Automattic/harper,https://github.com/Automattic/harper,utilities,cargo,build_always_failed,unclassified; version_mismatch; compilation_error,1,3,19,15,15,0,0,4,False,True,18,build_failed,rust:latest; rust:1.80.0; rust:1.79.0; rust:1.70.0; rust:1.75.0; rust:nightly,
BlinkDL/ChatRWKV,https://github.com/BlinkDL/ChatRWKV,machine-learning,pip,smoke_test_failure,dockerfile_syntax; missing_source_file,1,3,18,18,2,16,16,0,True,True,15,smoke_failed,python:3.12.13-bookworm,
ComicSparks/jasmine,https://github.com/ComicSparks/jasmine,mobile-development,flutter,build_always_failed,unclassified; compilation_error; missing_source_file,1,3,25,19,19,0,0,6,False,True,27,build_failed,ubuntu:jammy-20260217; ubuntu:22.04,
FuelLabs/fuel-core,https://github.com/FuelLabs/fuel-core,systems-programming,cargo,build_always_failed,missing_source_file; compilation_error; dockerfile_syntax,1,3,7,6,6,0,0,1,False,True,8,build_failed,rust:1.94.0-bookworm,
IzzelAliz/Arclight,https://github.com/IzzelAliz/Arclight,game-development,gradle,build_always_failed,compilation_error; unclassified; missing_system_dep,1,3,22,21,21,0,0,1,False,True,26,build_failed,debian:bookworm-slim; eclipse-temurin:21-jdk; openjdk:21-jdk-slim; gradle:8.3-jdk21; eclipse-temurin:21-jdk-jammy; debian:oldstable-slim,
JideGuru/FlutterSocialAppUIKit,https://github.com/JideGuru/FlutterSocialAppUIKit,mobile-development,pub,smoke_test_failure,compilation_error; unclassified; version_mismatch,1,3,21,19,18,1,1,2,True,True,22,build_failed,dart:3; cirrusci/flutter:3.13.8; dart:stable; --platform=$BUILDPLATFORM; cirrusci/flutter:latest; dart:stable-sdk; ghcr.io/cirruslabs/flutter:3.10.6,
ManimCommunity/manim,https://github.com/ManimCommunity/manim,education,poetry,smoke_test_failure,unclassified; dependency_not_found; missing_system_dep,2,4,33,23,14,9,9,10,True,True,36,rejected,python:3.13-slim; python:3.11-slim; python:3.15.0a7-slim-as-builder; python:3.15.0a7-slim-trixie; python:3.14-slim; python:3.15.0a7-slim,"SSL connection has been closed unexpectedly
"
MicaForEveryone/MicaForEveryone,https://github.com/MicaForEveryone/MicaForEveryone,utilities,dotnet,build_always_failed,unclassified; dependency_not_found; missing_system_dep,1,3,12,10,10,0,0,2,False,True,38,build_failed,mcr.microsoft.com/dotnet/sdk:9.0-windowsservercore-ltsc2022; mcr.microsoft.com/dotnet/sdk:10.0-windowsservercore-ltsc2022; mcr.microsoft.com/dotnet/sdk:7.0-windowsservercore-ltsc2022; mcr.microsoft.com/dotnet/sdk:8.0-windowsservercore-ltsc2022; ubuntu:jammy-20260217,
MojoJolo/textteaser,https://github.com/MojoJolo/textteaser,machine-learning,sbt,smoke_test_failure,unclassified; missing_system_dep; network_error,1,3,19,16,11,5,5,3,True,True,24,build_failed,hseeberger/scala-sbt:8u111_2.11.2_2.11.12; hseeberger/scala-sbt:8u111-jdk8; eclipse-temurin:8-jdk; java:openjdk-8u111-jdk-alpine; hseeberger/scala-sbt:8u272_2.11.12_0; hseeberger/scala-sbt:latest; eclipse-temurin:8-jdk-buster; adoptopenjdk/openjdk8; openjdk:8-jdk-slim,
MrS0m30n3/youtube-dl-gui,https://github.com/MrS0m30n3/youtube-dl-gui,utilities,setuptools,build_always_failed,missing_system_dep; dependency_not_found; compilation_error,1,3,18,17,17,0,0,1,False,True,20,build_failed,ubuntu:22.04; ubuntu:jammy-20260210.1; --platform=linux/amd64; ubuntu:14.04; ubuntu:18.04; python:2.7; debian:9; ubuntu:16.04,
NilsIrl/dockerc,https://github.com/NilsIrl/dockerc,systems-programming,zig,build_always_failed,network_error; unclassified; dependency_not_found,1,3,28,26,26,0,0,2,False,True,30,build_failed,debian:stable-slim; debian:oldstable-slim; ziglang/zig:0.13.0; debian:bookworm-slim,
ShareX/ShareX,https://github.com/ShareX/ShareX,utilities,dotnet,build_always_failed,dependency_not_found; dockerfile_syntax; missing_source_file,1,3,8,2,2,0,0,6,False,True,52,build_failed,mcr.microsoft.com/dotnet/sdk:9.0-windowsservercore-ltsc2025; ubuntu:22.04; mcr.microsoft.com/dotnet/sdk:9.0; mcr.microsoft.com/dotnet/sdk:9.0-windowsservercore-ltsc2022; mcr.microsoft.com/dotnet/sdk:8.0; mcr.microsoft.com/dotnet/sdk:6.0; mcr.microsoft.com/dotnet/sdk:7.0; mcr.microsoft.com/dotnet/sdk:8.0-windowsservercore-ltsc2022; mcr.microsoft.com/windows/servercore:ltsc2022; docker:windowsservercore-ltsc2025,
Theano/Theano,https://github.com/Theano/Theano,machine-learning,setuptools,smoke_test_failure,unclassified,1,3,16,16,3,13,13,0,True,True,14,smoke_failed,python:3.10-bookworm; python:3.12.13-bookworm; python:3.11-bookworm,
XUANTIE-RV/wujian100_open,https://github.com/XUANTIE-RV/wujian100_open,systems-programming,make,build_always_failed,missing_system_dep; compilation_error; missing_source_file,1,3,21,17,17,0,0,4,False,True,23,build_failed,riscv/riscv-gnu-toolchain:latest; ubuntu:jammy-20260217; ubuntu:22.04; ubuntu:,
adamwdraper/Numeral-js,https://github.com/adamwdraper/Numeral-js,utilities,npm,smoke_test_failure,dockerfile_syntax; version_mismatch,1,3,29,27,3,24,24,2,True,True,27,build_failed,node:18-bullseye-slim; node:8-buster; node:14.21.3-buster; node:18-bullseye; node:lts,
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,machine-learning,setuptools,smoke_test_failure,dependency_not_found; unclassified; missing_system_dep,2,6,42,42,25,17,17,0,True,True,45,build_failed,python:3.8-slim-buster; python:3.12.13-bookworm; python:3.10-slim-bullseye; python:3.11-slim-bullseye; python:3.11.5-bookworm; python:3.11.15-trixie; python:3.10.3-slim-bullseye; python:3.12.13-bookworm-slim,
alainm23/planify,https://github.com/alainm23/planify,utilities,meson,build_always_failed,missing_system_dep; dependency_not_found; compilation_error,2,4,23,22,22,0,0,1,False,True,22,,ubuntu:jammy-20260217; ubuntu:22.04,
anoma/anoma,https://github.com/anoma/anoma,systems-programming,mix,build_always_failed,unclassified; dockerfile_syntax; missing_source_file,1,3,21,18,18,0,0,3,False,True,20,build_failed,elixir:1.17,
apple/ml-fastvit,https://github.com/apple/ml-fastvit,machine-learning,pip,smoke_test_failure,dockerfile_syntax; unclassified,1,3,31,20,2,18,18,11,True,True,23,rejected,python:3.11.6-bookworm; python:3.12.13-bookworm; python:3.11-bookworm,
atom/atom,https://github.com/atom/atom,utilities,npm,build_always_failed,unclassified; missing_source_file; compilation_error,1,3,29,26,26,0,0,3,False,True,27,build_failed,ubuntu:20.04; node:18; node:latest; node:20-bullseye; node:12-buster; node:18-bullseye,
babel/babel,https://github.com/babel/babel,web-development,yarn,build_always_failed,unclassified; compilation_error; missing_source_file,1,3,32,29,29,0,0,3,False,True,34,rejected,node:20-slim; node:20-bullseye; node:18-bullseye-slim; node:trixie; node:25.6.1; node:16-bullseye-slim,
baiy/Ctool,https://github.com/baiy/Ctool,utilities,pnpm,build_always_failed,unclassified; missing_source_file; version_mismatch,1,3,17,17,17,0,0,0,False,True,18,build_failed,node:20; node:lts-bookworm,
biliup/biliup,https://github.com/biliup/biliup,utilities,cargo,build_always_failed,unclassified; missing_system_dep; missing_source_file,1,3,27,22,22,0,0,5,False,True,30,build_failed,node:20.11.0; node:lts,
biopython/biopython,https://github.com/biopython/biopython,scientific-computing,setuptools,smoke_test_failure,missing_system_dep; dockerfile_syntax; dependency_not_found,1,3,20,19,6,13,13,1,True,True,20,smoke_failed,python:3.12.13-bookworm,
browser-use/browser-use,https://github.com/browser-use/browser-use,utilities,npm,smoke_test_failure,unclassified; missing_source_file; missing_system_dep,1,3,30,22,9,13,13,8,True,True,31,build_failed,python:3.12-slim; python:3.15.0a7-slim,
certsocietegenerale/FIR,https://github.com/certsocietegenerale/FIR,security,pip,smoke_test_failure,compilation_error; missing_system_dep; dependency_not_found,2,6,45,41,35,6,6,4,True,True,47,build_failed,python:3.12.13-bookworm,
cirruslabs/tart,https://github.com/cirruslabs/tart,systems-programming,swiftpm,build_always_failed,unclassified; dependency_not_found; version_mismatch,1,3,17,10,10,0,0,7,False,True,16,rejected,swift:jammy-slim; swift:latest; swift:jammy; swift:5.10,
cjhutto/vaderSentiment,https://github.com/cjhutto/vaderSentiment,machine-learning,setuptools,smoke_test_failure,dependency_not_found,1,3,19,19,1,18,18,0,True,True,13,smoke_failed,python:3.12.13-bookworm,
clementchadebec/benchmark_VAE,https://github.com/clementchadebec/benchmark_VAE,machine-learning,pip,smoke_test_failure,unclassified; compilation_error; missing_source_file,2,4,29,29,11,18,18,0,True,True,28,build_failed,python:3.12.13-bookworm; python:3.11.15-bookworm,
deepcharles/ruptures,https://github.com/deepcharles/ruptures,machine-learning,setuptools,smoke_test_failure,unclassified; dockerfile_syntax; compilation_error,2,4,32,31,12,19,19,1,True,True,34,smoke_failed,python:3.12-bookworm; python:3.12.13-bookworm,
deepseek-ai/DeepSeek-V2,https://github.com/deepseek-ai/DeepSeek-V2,machine-learning,none,smoke_test_failure,unclassified; dependency_not_found,1,3,32,28,2,26,26,4,True,True,31,smoke_failed,python:3.12-bookworm,
demopark/electron-api-demos-Zh_CN,https://github.com/demopark/electron-api-demos-Zh_CN,education,npm,build_always_failed,unclassified; missing_system_dep; dockerfile_syntax,2,5,30,28,28,0,0,2,False,True,31,build_failed,node:18-slim; node:12-bullseye-slim; node:18-slim-bullseye; node:slim; node:20-bullseye-slim; node:12-buster-slim; node:18-bullseye-slim; node:12-slim,
dlt-hub/dlt,https://github.com/dlt-hub/dlt,data-science,pip,smoke_test_failure,compilation_error; missing_source_file,1,3,27,26,8,18,18,1,True,True,27,smoke_failed,python:3.11-slim; python:3.11.15-trixie,
duckdb/duckdb,https://github.com/duckdb/duckdb,systems-programming,cmake,build_always_failed,unclassified; missing_source_file,2,3,14,13,13,0,0,1,False,True,12,build_failed,ubuntu:jammy-20260217; ubuntu:22.04,"Command '['git', 'clone', '--depth', '1', 'https://github.com/duckdb/duckdb', 'workdir/ddc1da39-dc3d-47c0-9fb4-31b458620860/1/duckdb-duckdb']' timed out after 120 seconds"
facebookresearch/Detic,https://github.com/facebookresearch/Detic,machine-learning,pip,smoke_test_failure,missing_system_dep; dependency_not_found; compilation_error,1,3,27,19,11,8,8,8,True,True,27,smoke_failed,python:3.8-slim-buster; pytorch/pytorch:1.11.0-cpu; ubuntu:22.04; python:3.8-slim-bullseye; ubuntu:jammy-20260217,
facebookresearch/faiss,https://github.com/facebookresearch/faiss,machine-learning,cmake,smoke_test_failure,dockerfile_syntax; unclassified; dependency_not_found,2,4,30,24,14,10,10,6,True,True,32,,ubuntu:jammy-20260217; ubuntu:22.04,
fossasia/badgemagic-app,https://github.com/fossasia/badgemagic-app,mobile-development,flutter,build_always_failed,version_mismatch; missing_system_dep; unclassified,1,3,23,23,23,0,0,0,False,True,22,build_failed,fischerscode/flutter:latest; ubuntu:22.04; cirrusci/flutter:latest; cirrusci/flutter:stable; ubuntu:jammy-20260217; ubuntu:,
glennreyes/graphpack,https://github.com/glennreyes/graphpack,web-development,yarn,build_always_failed,unclassified; missing_system_dep; network_error,1,3,23,21,21,0,0,2,False,True,23,build_failed,node:14-slim; node:12-bullseye-slim; node:16-slim; node:slim; node:18-bullseye-slim; node:14-bullseye-slim; node:16-bullseye-slim,
google/pebble,https://github.com/google/pebble,systems-programming,waf,smoke_test_failure,unclassified; missing_source_file; missing_system_dep,1,3,28,23,22,1,1,5,True,True,29,rejected,debian:oldstable-slim; debian:bullseye-slim; debian:bookworm-slim,
hakimel/reveal.js,https://github.com/hakimel/reveal.js,web-development,npm,build_always_failed,compilation_error; dependency_not_found; resource_exhaustion,1,3,8,8,8,0,0,0,False,True,5,build_failed,node:20-slim,
hbons/SparkleShare,https://github.com/hbons/SparkleShare,utilities,meson,build_always_failed,missing_system_dep; unclassified; dependency_not_found,1,3,15,13,13,0,0,2,False,True,15,build_failed,ubuntu:jammy-20260217; ubuntu:22.04,
huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,machine-learning,setuptools,smoke_test_failure,unclassified; dependency_not_found; compilation_error,1,3,23,19,18,1,1,4,True,True,29,build_failed,python:3.12.0-bookworm; python:3.12.13-bookworm; python:3.11-bookworm; python:3.11.5-bookworm,
huiyadanli/RevokeMsgPatcher,https://github.com/huiyadanli/RevokeMsgPatcher,utilities,msbuild,no_verify_attempt,,1,3,0,0,0,0,0,0,False,True,48,,windowsservercore:ltsc2019; mcr.microsoft.com/dotnet/framework/sdk:4.8-windowsservercore-ltsc2022; mcr.microsoft.com/dotnet/framework/sdk:4.8-windowsservercore-ltsc2019; windowsservercore-ltsc2025; windowsservercore-ltsc2019; mcr.microsoft.com/windows/servercore:ltsc2019; windowsservercore-ltsc2022; mcy93w/windowsservercore:ltsc2019; cirrusci/windowsservercore:ltsc2019; microsoft/windowsservercore:ltsc2019; mcr.microsoft.com/windows/servercore:ltsc2022; mcr.microsoft.com/dotnet/framework/sdk:4.8,
jgm/pandoc,https://github.com/jgm/pandoc,utilities,cabal,smoke_test_failure,missing_source_file; unclassified; compilation_error,1,3,34,27,25,2,2,7,True,True,32,build_failed,haskell:slim-bullseye,
junegunn/vim-plug,https://github.com/junegunn/vim-plug,utilities,none,smoke_test_failure,missing_source_file,1,3,23,14,4,10,10,9,True,True,25,smoke_failed,ubuntu:jammy-20260217; ubuntu:22.04,
lostindark/DriverStoreExplorer,https://github.com/lostindark/DriverStoreExplorer,utilities,dotnet,all_rejected,,1,3,2,0,0,0,0,2,False,True,36,rejected,windowsservercore:ltsc2019; mcr.microsoft.com/dotnet/framework/sdk:4.8-windowsservercore-ltsc2019; windowsservercore-ltsc2025; windowsservercore-ltsc2019; windowsservercore; mcr.microsoft.com/windows/servercore:ltsc2019; windowsservercore-ltsc2022; microsoft/dotnet-framework-sdk:4.8; microsoft/windowsservercore:ltsc2019; mcr.microsoft.com/windows/servercore:ltsc2022; mcr.microsoft.com/dotnet/framework/sdk:4.8,
lunarmodules/luasocket,https://github.com/lunarmodules/luasocket,systems-programming,luarocks,smoke_test_failure,compilation_error; missing_source_file,1,3,24,24,5,19,19,0,True,True,23,smoke_failed,ubuntu:jammy-20260217; ubuntu:22.04,
macrozheng/mall,https://github.com/macrozheng/mall,web-development,maven,build_always_failed,unclassified; dependency_not_found; compilation_error,2,4,6,6,6,0,0,0,False,True,4,,maven:3.6.3-jdk-8,
matter-labs/zksync,https://github.com/matter-labs/zksync,systems-programming,cargo,build_always_failed,compilation_error; dependency_not_found; unclassified,1,3,18,18,18,0,0,0,False,True,15,build_failed,rust:1.70.0-bookworm; rust:1.67-bookworm; rust:1.94.0-bookworm,
mem0ai/mem0,https://github.com/mem0ai/mem0,machine-learning,pip,smoke_test_failure,unclassified; dockerfile_syntax; dependency_not_found,1,3,22,19,12,7,7,3,True,True,24,build_failed,python:3.12.13-bookworm,
metalbear-co/mirrord,https://github.com/metalbear-co/mirrord,devops,cargo,build_always_failed,dependency_not_found; missing_system_dep; unclassified,1,3,27,25,25,0,0,2,False,True,38,build_failed,ubuntu:22.04; --platform=$BUILDPLATFORM; ubuntu:jammy-20260217; ghcr.io/metalbear-co/ci-agent-build:fc6a43e83803b870361cb2ad801d7f0e23d2dd21,
microsoft/FluidFramework,https://github.com/microsoft/FluidFramework,web-development,pnpm,build_always_failed,missing_source_file; unclassified; dockerfile_syntax,1,3,26,25,25,0,0,1,False,True,24,build_failed,node:slim; node:20-slim,
n8n-io/n8n,https://github.com/n8n-io/n8n,web-development,npm,build_always_failed,permission_error; dependency_not_found; unclassified,2,6,33,27,27,0,0,6,False,True,45,build_failed,node:24.13.1-slim; node:24-slim; node:${NODE_VERSION}-alpine; node:22-slim; node:${NODE_VERSION}-slim; node:slim; node:24-alpine; node:24.13.1-alpine,
nimbusdotstorage/Nimbus,https://github.com/nimbusdotstorage/Nimbus,web-development,bun,build_always_failed,dockerfile_syntax; version_mismatch; missing_system_dep,1,3,26,25,25,0,0,1,False,True,30,build_failed,oven/bun; node:lts,
openai/gym,https://github.com/openai/gym,machine-learning,setuptools,smoke_test_failure,unclassified; missing_system_dep; dependency_not_found,1,3,33,31,15,16,16,2,True,True,32,smoke_failed,python:${PYTHON_VERSION}; python:3.11.15-trixie; python:3.11-slim,
openid/AppAuth-iOS,https://github.com/openid/AppAuth-iOS,mobile-development,swiftpm,build_always_failed,unclassified; compilation_error; missing_source_file,1,3,18,16,16,0,0,2,False,True,17,build_failed,swift:5.3-bionic; swift:jammy-slim; ubuntu:22.04; swift:jammy; swift:latest,
openkraken/kraken,https://github.com/openkraken/kraken,mobile-development,cmake,build_always_failed,version_mismatch; compilation_error; missing_system_dep,2,6,54,53,53,0,0,1,False,True,51,build_failed,ubuntu:jammy-20260217; ubuntu:22.04; node:lts,
oven-sh/bun,https://github.com/oven-sh/bun,utilities,zig,build_always_failed,unclassified; compilation_error,1,3,23,11,11,0,0,12,False,True,24,build_failed,debian:trixie-slim,
pathwaycom/pathway,https://github.com/pathwaycom/pathway,data-science,pip,build_always_failed,unclassified; missing_system_dep; compilation_error,1,3,15,15,15,0,0,0,False,True,13,build_failed,rust:1.93.0-bookworm; rust:1.94.0-bookworm,
pola-rs/polars,https://github.com/pola-rs/polars,data-science,cargo,smoke_test_failure,unclassified; missing_source_file; missing_system_dep,2,6,51,41,37,4,4,9,True,True,55,,rust:1.74-bullseye; --platform=$TARGETPLATFORM; ubuntu:22.04; rust:1.94.0-trixie; ubuntu:20.04; --platform=linux/amd64; ubuntu:jammy-20260217,"SSL connection has been closed unexpectedly
"
protobuf-net/protobuf-net,https://github.com/protobuf-net/protobuf-net,utilities,dotnet,smoke_test_failure,missing_source_file; unclassified; dependency_not_found,2,5,17,12,11,1,1,4,True,True,17,,mcr.microsoft.com/dotnet/sdk:8.0-windowsservercore-ltsc2022; mcr.microsoft.com/dotnet/sdk:8.0; ubuntu:jammy-20260217,
py-pdf/pypdf,https://github.com/py-pdf/pypdf,utilities,pip,smoke_test_failure,compilation_error; unclassified,1,3,26,26,5,21,21,0,True,True,26,smoke_failed,python:3.11.15-bookworm; python:3.11-bookworm,
pymc-devs/pymc,https://github.com/pymc-devs/pymc,scientific-computing,poetry,smoke_test_failure,dockerfile_syntax; unclassified; missing_system_dep,1,3,35,33,11,22,22,2,True,True,35,smoke_failed,python:3.11.15,
qbittorrent/qBittorrent,https://github.com/qbittorrent/qBittorrent,systems-programming,cmake,build_always_failed,dependency_not_found; missing_system_dep; unclassified,2,5,43,39,39,0,0,4,False,True,46,build_failed,debian:oldstable-slim; debian:bookworm-slim; ubuntu:jammy-20260217; ubuntu:22.04,"SSL connection has been closed unexpectedly
"
quantumlib/Cirq,https://github.com/quantumlib/Cirq,scientific-computing,setuptools,smoke_test_failure,dependency_not_found; unclassified; compilation_error,1,3,24,22,4,18,18,2,True,True,25,smoke_failed,python:3.11.15-bookworm; python:3.11-bookworm,
rapidsai/cudf,https://github.com/rapidsai/cudf,data-science,cmake,build_always_failed,unclassified; dependency_not_found; missing_system_dep,1,3,29,22,22,0,0,7,False,True,30,build_failed,--platform=linux/amd64; ubuntu:22.04; ubuntu:jammy-20260217; nvidia/cuda:12.2.0-devel-ubuntu22.04,
rasbt/machine-learning-book,https://github.com/rasbt/machine-learning-book,education,conda,smoke_test_failure,unclassified; missing_source_file; compilation_error,2,6,21,18,16,2,2,3,True,True,22,,ubuntu:jammy-20260217; ubuntu:22.04,
rasta-mouse/Sherlock,https://github.com/rasta-mouse/Sherlock,security,none,smoke_test_failure,dockerfile_syntax,1,3,11,5,1,4,4,6,True,True,37,rejected,docker.io/powershell/powershell:latest; ubuntu:22.04; windowsservercore-ltsc2025; mcr.microsoft.com/windows/servercore:ltsc2025; mcr.microsoft.com/powershell:latest; windowsservercore; mcr.microsoft.com/windows/servercore:ltsc2019; windowsservercore-ltsc2022; envoyproxy/envoy-windows-ltsc2022-dev; mcr.microsoft.com/windows/servercore:ltsc2022,
rubickCenter/rubick,https://github.com/rubickCenter/rubick,utilities,npm,smoke_test_failure,unclassified; missing_system_dep; missing_source_file,2,5,48,43,42,1,1,5,True,True,45,build_failed,node:16; node:20-bookworm; node:16-bookworm; node:18-bookworm; node:lts-bookworm; node:16-bullseye-slim; node:lts,
rust-lang/git2-rs,https://github.com/rust-lang/git2-rs,systems-programming,cargo,smoke_test_failure,missing_source_file; missing_system_dep; unclassified,1,3,30,29,27,2,2,1,True,True,27,build_failed,rust:1.94.0-bookworm,
sbt/sbt,https://github.com/sbt/sbt,utilities,sbt,smoke_test_failure,missing_system_dep; dependency_not_found; missing_source_file,1,3,20,19,17,2,2,1,True,True,23,build_failed,ubuntu:22.04; sbtscala/scala-sbt:latest; hseeberger/scala-sbt:17.0.8_1.9.9_3.3.3; hseeberger/scala-sbt:latest; ubuntu:jammy-20260217,
scrapinghub/portia,https://github.com/scrapinghub/portia,web-development,setuptools,build_always_failed,unclassified; compilation_error; missing_system_dep,1,3,27,25,25,0,0,2,False,True,28,build_failed,python:3.8-slim-buster; ubuntu:16.04; ubuntu:22.04; ubuntu:jammy-20260210.1,
shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,security,msbuild,all_rejected,,1,3,5,0,0,0,0,5,False,True,39,rejected,windowsservercore:ltsc2019; ubuntu:22.04; mcr.microsoft.com/dotnet/framework/sdk:4.8-windowsservercore-ltsc2019; mcr.microsoft.com/windows/servercore:ltsc2025; windowsservercore-ltsc2025; cirrusci/windowsservercore; tgridcloudewsp/windowsservercore-ltsc2019; mcr.microsoft.com/windows/servercore:ltsc2019; windowsservercore; mcr.microsoft.com/windows/servercore:ltsc2022,
sinonjs/sinon,https://github.com/sinonjs/sinon,utilities,npm,smoke_test_failure,missing_source_file; missing_system_dep; unclassified,1,3,29,27,15,12,12,2,True,True,27,build_failed,node:20-bullseye; node:18-bullseye-slim; node:lts,
spinnaker/spinnaker,https://github.com/spinnaker/spinnaker,devops,gradle,build_always_failed,unclassified; dependency_not_found; permission_error,1,3,31,23,23,0,0,8,False,True,29,build_failed,ubuntu:jammy; ubuntu:jammy-20260217,
strapi/strapi,https://github.com/strapi/strapi,web-development,yarn,build_always_failed,unclassified; dockerfile_syntax; dependency_not_found,1,3,27,21,21,0,0,6,False,True,28,build_failed,node:lts-bookworm,
sveltejs/svelte,https://github.com/sveltejs/svelte,web-development,pnpm,build_always_failed,missing_source_file; missing_system_dep; unclassified,1,3,28,26,26,0,0,2,False,True,25,build_failed,node:lts-bookworm,
tensorflow/privacy,https://github.com/tensorflow/privacy,machine-learning,setuptools,smoke_test_failure,compilation_error; unclassified; dockerfile_syntax,1,3,27,25,6,19,19,2,True,True,25,smoke_failed,python:3.11.15-bookworm,
thomasp85/gganimate,https://github.com/thomasp85/gganimate,data-science,none,build_always_failed,unclassified; missing_system_dep; dependency_not_found,1,3,21,20,20,0,0,1,False,True,19,build_failed,r-base:4.5.3; rocker/r-base:4.5.3; rocker/r-ver:4.5.3,
tidyverse/dplyr,https://github.com/tidyverse/dplyr,data-science,none,smoke_test_failure,unclassified; dockerfile_syntax; missing_system_dep,1,3,31,29,22,7,7,2,True,True,29,build_failed,r-base:4.4.2; rocker/r-base:4.5.3; r-base:4.3.2; r-base:4.3.3; r-base:4.5.3,
tldev/posturr,https://github.com/tldev/posturr,utilities,swiftpm,build_always_failed,unclassified; missing_system_dep; dockerfile_syntax,1,3,23,6,6,0,0,17,False,True,20,build_failed,swift:jammy-slim; swift:; ubuntu:22.04,
tporadowski/redis,https://github.com/tporadowski/redis,systems-programming,msbuild,build_always_failed,dockerfile_syntax; dependency_not_found; permission_error,1,3,2,2,2,0,0,0,False,True,39,,mcr.microsoft.com/dotnet/framework/sdk:4.8-windowsservercore-ltsc2022; windowsservercore-ltsc2025; mcr.microsoft.com/vstudio/msbuild:16.11-windowsservercore-ltsc2022; ${BASE_IMAGE}; mcr.microsoft.com/windows/servercore:ltsc2019; windowsservercore:ltsc2022; mcr.microsoft.com/windows/servercore:ltsc2022,
x64dbg/x64dbg,https://github.com/x64dbg/x64dbg,security,cmake,build_always_failed,dependency_not_found; missing_system_dep; unclassified,2,4,19,18,18,0,0,1,False,True,20,,mcr.microsoft.com/windows/servercore:ltsc2022; ubuntu:jammy-20260217; ubuntu:22.04,
xai-org/grok-1,https://github.com/xai-org/grok-1,machine-learning,pip,no_iterations,,1,0,0,0,0,0,0,0,False,False,0,,,
xamarin/XamarinComponents,https://github.com/xamarin/XamarinComponents,mobile-development,cake,build_always_failed,missing_source_file; dependency_not_found; missing_system_dep,1,3,8,7,7,0,0,1,False,True,14,,ubuntu:22.04; bitnami/dotnet-sdk:latest; mcr.microsoft.com/dotnet/sdk:8.0; mcr.microsoft.com/dotnet/sdk:7.0; bitnami/dotnet-sdk:7.0,
ziglang/zig,https://github.com/ziglang/zig,systems-programming,zig,build_always_failed,unclassified; network_error; dependency_not_found,1,3,29,24,24,0,0,5,False,True,32,build_failed,ziglang/zig:0.16.0; ubuntu:jammy-20260217; ubuntu:22.04,
